iter	Logloss
0	0.3996166424
1	0.3703631752
2	0.3498627205
3	0.3372292706
4	0.3361505231
5	0.3335754825
6	0.3300617593
7	0.3271725119
8	0.3246019936
9	0.3235691459
10	0.319831444
11	0.3160932421
12	0.3128108976
13	0.3084479232
14	0.3059675792
15	0.3022754635
16	0.3007091737
17	0.2983763954
18	0.2963610532
19	0.2951561139
20	0.2934031311
21	0.2920842199
22	0.2898457044
23	0.2884354443
24	0.2853951172
25	0.2839553727
26	0.2826907144
27	0.2810234808
28	0.2799537298
29	0.2766747629
30	0.2750488863
31	0.2736162942
32	0.2721828593
33	0.2708373471
34	0.2687631343
35	0.2675498019
36	0.2663271317
37	0.2646425709
38	0.263619858
39	0.2624425151
40	0.2609591716
41	0.2590620397
42	0.2569110111
43	0.2548265485
44	0.253360029
45	0.2518965305
46	0.2491417843
47	0.2486247984
48	0.2471701242
49	0.2458672009
50	0.2437163361
51	0.242454746
52	0.2402048684
53	0.2390890825
54	0.2377980243
55	0.2370962752
56	0.2357540569
57	0.2332580787
58	0.2317919255
59	0.2312317368
60	0.2303649589
61	0.2287843559
62	0.226953725
63	0.2259450904
64	0.2242944147
65	0.2223917792
66	0.2215118482
67	0.2191775621
68	0.2181775803
69	0.2168071695
70	0.216045797
71	0.2146755682
72	0.2124543292
73	0.2115536671
74	0.2110891254
75	0.2103017171
76	0.209144143
77	0.2074764511
78	0.2062127688
79	0.2028653799
80	0.2022053487
81	0.2011735434
82	0.1996043359
83	0.1989711351
84	0.1978373731
85	0.196501885
86	0.196073246
87	0.1952687078
88	0.1939969985
89	0.1927408629
90	0.1916408626
91	0.1910612124
92	0.1902464406
93	0.1898023872
94	0.1889472732
95	0.1880668203
96	0.1865332225
97	0.1852405059
98	0.184484751
99	0.1834158643
