iter	Passed	Remaining
0	14	1388
1	24	1218
2	34	1119
3	43	1037
4	52	1006
5	61	956
6	65	872
7	70	805
8	73	746
9	77	694
10	80	651
11	86	636
12	90	604
13	93	574
14	96	548
15	100	525
16	103	506
17	106	485
18	109	465
19	111	446
20	114	430
21	116	414
22	119	398
23	121	384
24	123	370
25	125	357
26	127	345
27	129	334
28	131	323
29	134	313
30	136	303
31	138	293
32	140	284
33	142	276
34	144	268
35	146	260
36	148	252
37	150	246
38	152	239
39	155	232
40	157	226
41	159	220
42	161	214
43	163	208
44	165	202
45	167	197
46	169	191
47	171	186
48	173	181
49	176	176
50	178	171
51	182	168
52	184	163
53	186	158
54	188	154
55	190	149
56	192	145
57	194	141
58	196	136
59	199	133
60	201	128
61	203	124
62	205	120
63	207	116
64	210	113
65	213	110
66	217	106
67	219	103
68	221	99
69	223	95
70	225	91
71	227	88
72	229	84
73	231	81
74	233	77
75	235	74
76	238	71
77	240	67
78	242	64
79	244	61
80	246	57
81	248	54
82	250	51
83	252	48
84	254	44
85	256	41
86	258	38
87	260	35
88	263	32
89	265	29
90	267	26
91	269	23
92	271	20
93	273	17
94	275	14
95	277	11
96	279	8
97	282	5
98	284	2
99	286	0
